ISBN,Book-Title,Book-Author,Publisher,Year-Of-Publication,Image-URL-L
0394498364,Kinflicks: A Novel,Lisa Alther,Bbs Pub Corp,1978.0,http://images.amazon.com/images/P/0394498364.01.LZZZZZZZ.jpg
051512303X,"The Lady Killers (The Gunsmith , No 198)",J. R. Roberts,Jove Books,1998.0,http://images.amazon.com/images/P/051512303X.01.LZZZZZZZ.jpg
1400050219,Sleeping With the Devil: How Washington Sold Our Soul for Saudi Crude,ROBERT BAER,Crown,2003.0,http://images.amazon.com/images/P/1400050219.01.LZZZZZZZ.jpg
0425176312,In the Hour Before Midnight,Jack Higgins,Berkley Publishing Group,2000.0,http://images.amazon.com/images/P/0425176312.01.LZZZZZZZ.jpg
042515761X,Crime Through Time,Miriam Grace Monfredo,Berkley Publishing Group,1997.0,http://images.amazon.com/images/P/042515761X.01.LZZZZZZZ.jpg
0449206890,Dead Heat,Linda Barnes,Fawcett Books,1995.0,http://images.amazon.com/images/P/0449206890.01.LZZZZZZZ.jpg
0451402081,Children of the Knife,Brad Strickland,New Amer Library (Mm),1990.0,http://images.amazon.com/images/P/0451402081.01.LZZZZZZZ.jpg
0913165166,Fiends,John Farris,Dark Harvest,1990.0,http://images.amazon.com/images/P/0913165166.01.LZZZZZZZ.jpg
0688046126,Sanctuary: A Peter Decker/Rina Lazarus Mystery (Peter Decker &amp; Rina Lazarus Novels (Hardcover)),Faye Kellerman,Harpercollins,1994.0,http://images.amazon.com/images/P/0688046126.01.LZZZZZZZ.jpg
0937552143,Best of the Best from Texas: Selected Recipes from Texas' Favorite Cookbooks,Gwen McKee,Quail Ridge Press,2000.0,http://images.amazon.com/images/P/0937552143.01.LZZZZZZZ.jpg
0937552623,Best of the Best from Texas 2: Selected Recipes from Texas' Favorite Cookbooks,Gwen McKee,Quail Ridge Press,1996.0,http://images.amazon.com/images/P/0937552623.01.LZZZZZZZ.jpg
0440212200,Snapshot/a Carlotta Carlyle Novel,Linda Barnes,Dell Publishing Company,1994.0,http://images.amazon.com/images/P/0440212200.01.LZZZZZZZ.jpg
0375508791,Why America Slept : The Failure to Prevent 9/11,GERALD L. POSNER,Random House,2003.0,http://images.amazon.com/images/P/0375508791.01.LZZZZZZZ.jpg
0967970318,"Elder Rage, or Take My Father... Please!: How to Survive Caring for Aging Parents",Jacqueline Marcell,Impressive Press,2001.0,http://images.amazon.com/images/P/0967970318.01.LZZZZZZZ.jpg
0385299281,Whispers,Belva Plain,Bantam Dell Pub Group,1993.0,http://images.amazon.com/images/P/0385299281.01.LZZZZZZZ.jpg
0671683322,YOU GOTTA PLAY HURT,Dan Jenkins,Simon &amp; Schuster,1991.0,http://images.amazon.com/images/P/0671683322.01.LZZZZZZZ.jpg
0671703765,Operation Shylock a confession,Philip Roth,Simon &amp; Schuster,1998.0,http://images.amazon.com/images/P/0671703765.01.LZZZZZZZ.jpg
156865233X,C is for Corpse (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,Doubleday Books,1996.0,http://images.amazon.com/images/P/156865233X.01.LZZZZZZZ.jpg
1560549785,Cold Fire,Dean R. Koontz,Thorndike Press,1992.0,http://images.amazon.com/images/P/1560549785.01.LZZZZZZZ.jpg
0786701676,After the First Death,Lawrence Block,Carroll &amp; Graf Publishers,1994.0,http://images.amazon.com/images/P/0786701676.01.LZZZZZZZ.jpg
0312928831,The Choice,Barry Reed,St. Martin's Press,1992.0,http://images.amazon.com/images/P/0312928831.01.LZZZZZZZ.jpg
0515126497,Trouble in Paradise (Jesse Stone Novels (Paperback)),Robert B. Parker,Jove Books,1999.0,http://images.amazon.com/images/P/0515126497.01.LZZZZZZZ.jpg
0345410122,Maiden Voyage,Tania Aebi,Ballantine Books,1996.0,http://images.amazon.com/images/P/0345410122.01.LZZZZZZZ.jpg
0071414290,The Strange Last Voyage of Donald Crowhurst,Nicholas  Tomalin,International Marine/Ragged Mountain Press,2003.0,http://images.amazon.com/images/P/0071414290.01.LZZZZZZZ.jpg
0385720009,Godforsaken Sea: The True Story of a Race Through the World's Most Dangerous Waters,Derek Lundy,Anchor Books/Doubleday,2000.0,http://images.amazon.com/images/P/0385720009.01.LZZZZZZZ.jpg
0070237565,Before the Wind: True Stories About Sailing,David  Gowdey,International Marine/Ragged Mountain Press,1994.0,http://images.amazon.com/images/P/0070237565.01.LZZZZZZZ.jpg
0786707410,Close to the Wind,Pete Goss,Carroll &amp; Graf Publishers,2000.0,http://images.amazon.com/images/P/0786707410.01.LZZZZZZZ.jpg
0345450175,Balance of Power,RICHARD NORTH PATTERSON,Ballantine Books,2003.0,http://images.amazon.com/images/P/0345450175.01.LZZZZZZZ.jpg
0895470543,First to Sail the World Alone: Joshua Slocum,Janis L. Fortman,Granite Impex Ltd,1978.0,http://images.amazon.com/images/P/0895470543.01.LZZZZZZZ.jpg
1886411077,Internet for Cats,Alan Okamoto,No Starch Press,1997.0,http://images.amazon.com/images/P/1886411077.01.LZZZZZZZ.jpg
0831739045,Gifts to Make for Special Occasions,Lyn Orton,Popular Culture Ink,1990.0,http://images.amazon.com/images/P/0831739045.01.LZZZZZZZ.jpg
0394415582,Kids' stuff,Linda Foa,Pantheon Books,1979.0,http://images.amazon.com/images/P/0394415582.01.LZZZZZZZ.jpg
0312018320,"Tart, With a Silken Finish",Peter Barthelme,Horizon Book Promotions,1988.0,http://images.amazon.com/images/P/0312018320.01.LZZZZZZZ.jpg
0894070266,Sounds from Josephine's kitchen,Josephine Araldo,distributed by Stackpole Books,1978.0,http://images.amazon.com/images/P/0894070266.01.LZZZZZZZ.jpg
0786002840,Mortal Remains: An Adam McCleet Mystery,Rick Hanson,Pinnacle Books,1996.0,http://images.amazon.com/images/P/0786002840.01.LZZZZZZZ.jpg
0446340952,Fletch Won,Gregory McDonald,Warner Books,1989.0,http://images.amazon.com/images/P/0446340952.01.LZZZZZZZ.jpg
0967917107,Dome Living : A Creative Guide For Planning Your Monolithic Dream Home,David B. South,Monolithic Dome Inst,2000.0,http://images.amazon.com/images/P/0967917107.01.LZZZZZZZ.jpg
0029126800,AMERICAN BUSINESS,C. Jackson Grayson,Free Press,1988.0,http://images.amazon.com/images/P/0029126800.01.LZZZZZZZ.jpg
0671628933,LIFETIME,Scott Sommer,Pocket,1986.0,http://images.amazon.com/images/P/0671628933.01.LZZZZZZZ.jpg
0848719042,Southern Living 1999 Annual Recipes (Southern Living 1999 Annual Recipes),Leisure Arts,Oxmoor House,1999.0,http://images.amazon.com/images/P/0848719042.01.LZZZZZZZ.jpg
0848716183,Southern Living: 1997 Annual Recipes (Serial),Southern Living,Leisure Arts Inc.,1997.0,http://images.amazon.com/images/P/0848716183.01.LZZZZZZZ.jpg
0446525766,The Protein Power Lifeplan : A New Comprehensive Blueprint for Optimal Health,Michael R. Eades,Warner Books,2000.0,http://images.amazon.com/images/P/0446525766.01.LZZZZZZZ.jpg
1931412065,"500 Low-Carb Recipes: 500 Recipes from Snacks to Dessert, That the Whole Family Will Love",Dana Carpender,Fair Winds Press,2002.0,http://images.amazon.com/images/P/1931412065.01.LZZZZZZZ.jpg
0801968275,Quilting Primer,Dorothy Frager,Krause Pubns Inc,1980.0,http://images.amazon.com/images/P/0801968275.01.LZZZZZZZ.jpg
0812521978,Sacrifice,Graham Masterton,Tor Books,1986.0,http://images.amazon.com/images/P/0812521978.01.LZZZZZZZ.jpg
0380773333,Ufo Abductions in Gulf Breeze,Ed Walters,Harper Mass Market Paperbacks (Mm),1994.0,http://images.amazon.com/images/P/0380773333.01.LZZZZZZZ.jpg
0812505700,All About Women,Andrew M. Greeley,Tor Books (Mm),1991.0,http://images.amazon.com/images/P/0812505700.01.LZZZZZZZ.jpg
0765343428,"Aloha, Mr. Lucky",Corson Hirschfeld,Forge Books,2002.0,http://images.amazon.com/images/P/0765343428.01.LZZZZZZZ.jpg
3426618257,Die LÃ?Â¼gnerin.,Linn Ullmann,Droemer Knaur,2000.0,http://images.amazon.com/images/P/3426618257.01.LZZZZZZZ.jpg
0451205677,Breed,Owl Goingback,Signet Book,2002.0,http://images.amazon.com/images/P/0451205677.01.LZZZZZZZ.jpg
0805210601,The Sunflower: On the Possibilities and Limits of Forgiveness (Newly Expanded Paperback Edition),Simon Wiesenthal,Schocken Books,1998.0,http://images.amazon.com/images/P/0805210601.01.LZZZZZZZ.jpg
0375758739,Comfort Me with Apples: More Adventures at the Table,Ruth Reichl,Random House Trade,2002.0,http://images.amazon.com/images/P/0375758739.01.LZZZZZZZ.jpg
0156027372,The Middle of Everywhere: Helping Refugees Enter the American Community,Mary Pipher,Harvest Books,2003.0,http://images.amazon.com/images/P/0156027372.01.LZZZZZZZ.jpg
0380977761,Abraham : A Journey to the Heart of Three Faiths,Bruce Feiler,William Morrow,2002.0,http://images.amazon.com/images/P/0380977761.01.LZZZZZZZ.jpg
0684856115,Sweet St. Louis : AN Urban Love Story,Omar Tyree,Simon &amp; Schuster,2000.0,http://images.amazon.com/images/P/0684856115.01.LZZZZZZZ.jpg
0684853949,The Man Who Mistook His Wife For A Hat : And Other Clinical Tales,Oliver Sacks,Touchstone,1998.0,http://images.amazon.com/images/P/0684853949.01.LZZZZZZZ.jpg
0786864672,Pure Drivel,Steve Martin,Hyperion,1998.0,http://images.amazon.com/images/P/0786864672.01.LZZZZZZZ.jpg
0452276322,The Statement,Brian Moore,Plume Books,1997.0,http://images.amazon.com/images/P/0452276322.01.LZZZZZZZ.jpg
0786865644,Parallel Lies,Ridley Pearson,Hyperion,2001.0,http://images.amazon.com/images/P/0786865644.01.LZZZZZZZ.jpg
074321546X,Life Strategies for Teens,Jay McGraw,Fireside,2000.0,http://images.amazon.com/images/P/074321546X.01.LZZZZZZZ.jpg
0570052912,Stand Your Ground: Devotions for Teens by Teens,Teen Authors,Concordia Publishing House,2001.0,http://images.amazon.com/images/P/0570052912.01.LZZZZZZZ.jpg
0486268659,A Christmas Carol (Dover Thrift Editions),Charles Dickens,Dover Publications,1991.0,http://images.amazon.com/images/P/0486268659.01.LZZZZZZZ.jpg
0805018395,Quinlan's Illustrated Registry of Film Stars (A Henry Holt Reference Book),David Quinlan,Henry Holt &amp; Co,1991.0,http://images.amazon.com/images/P/0805018395.01.LZZZZZZZ.jpg
0590250876,Richie Rich,Nancy Krulik,Scholastic,1994.0,http://images.amazon.com/images/P/0590250876.01.LZZZZZZZ.jpg
059045854X,Ghosts Don't Eat Potato Chips (Adventures of the Bailey School Kids (Paperback)),Debbie Dadey,Scholastic,1997.0,http://images.amazon.com/images/P/059045854X.01.LZZZZZZZ.jpg
0316602027,The Jolly Pocket Postman,Janet Ahlberg,Little Brown &amp; Co,1995.0,http://images.amazon.com/images/P/0316602027.01.LZZZZZZZ.jpg
0810938251,The Sign of the Seahorse: A Tale of Greed and High Adventure in Two Acts,Graeme Base,Harry N Abrams Inc,1992.0,http://images.amazon.com/images/P/0810938251.01.LZZZZZZZ.jpg
0590939882,The Kid Who Ran for President,Dan Gutman,Apple,1996.0,http://images.amazon.com/images/P/0590939882.01.LZZZZZZZ.jpg
0590330454,Your Second Super Magic Show,Marvin Miller,Scholastic Paperbacks (T),1984.0,http://images.amazon.com/images/P/0590330454.01.LZZZZZZZ.jpg
0340785004,"You Must Be Joking, Jimmy (Definitely Daisy)",Jenny Oldfield,Hodder Children's Books,2003.0,http://images.amazon.com/images/P/0340785004.01.LZZZZZZZ.jpg
0440409322,Nate the Great and the Stolen Base (Nate the Great Detective Stories (Paperback)),MARJORIE SHARMAT,Yearling,1994.0,http://images.amazon.com/images/P/0440409322.01.LZZZZZZZ.jpg
0590450506,The Legend of Sleepy Hollow,Freya Littledale,Scholastic,1992.0,http://images.amazon.com/images/P/0590450506.01.LZZZZZZZ.jpg
0590458841,Flossie and the Fox,McKissack,Scholastic Paperbacks (Mm),1992.0,http://images.amazon.com/images/P/0590458841.01.LZZZZZZZ.jpg
0340784997,"Just You Wait, Winona (Definitely Daisy)",Jenny Oldfield,Hodder Children's Books,2003.0,http://images.amazon.com/images/P/0340784997.01.LZZZZZZZ.jpg
0060001836,Stuart Little 2: Stuart's Wild Ride,Patricia Lakin,HarperFestival,2002.0,http://images.amazon.com/images/P/0060001836.01.LZZZZZZZ.jpg
0380702843,The Return of the Indian (Indian in the Cupboard),Lynne Reid Banks,HarperTrophy,1999.0,http://images.amazon.com/images/P/0380702843.01.LZZZZZZZ.jpg
0525443673,How Does It Feel to Be Old,Norma Farber,Dutton Children's Books,1988.0,http://images.amazon.com/images/P/0525443673.01.LZZZZZZZ.jpg
0525466878,Shrek Scratch and Stink Storybook,Justin Heimberg,DreamWorks,2001.0,http://images.amazon.com/images/P/0525466878.01.LZZZZZZZ.jpg
0340785012,"I'd Like a Little Word, Leonie (Definitely Daisy)",Jenny Oldfield,Hodder Children's Books,2003.0,http://images.amazon.com/images/P/0340785012.01.LZZZZZZZ.jpg
0395511224,Glenda Feathers Casts a Spell,Eileen Christelow,Houghton Mifflin,1990.0,http://images.amazon.com/images/P/0395511224.01.LZZZZZZZ.jpg
037581356X,Magic Tree House Research Guide: Space (Magic Tree House Research Guide),WILL AND MA OSBORNE,Random House Books for Young Readers,2002.0,http://images.amazon.com/images/P/037581356X.01.LZZZZZZZ.jpg
076130715X,People Chase Twisters (I Didn't Know That),Kate Petty,Copper Beech Books,1998.0,http://images.amazon.com/images/P/076130715X.01.LZZZZZZZ.jpg
0340784989,"You're a Disgrace, Daisy (Definitely Daisy)",Jenny Oldfield,Hodder Children's Books,2003.0,http://images.amazon.com/images/P/0340784989.01.LZZZZZZZ.jpg
0590459384,Learning to Swim in Swaziland:  A Child'S-Eye View of a Southern African Country,Nila K. Leigh,Scholastic Paperbacks,1993.0,http://images.amazon.com/images/P/0590459384.01.LZZZZZZZ.jpg
0816717702,Great Houdini - Pbk,Louis Sabin,Troll Communications,1997.0,http://images.amazon.com/images/P/0816717702.01.LZZZZZZZ.jpg
0822595036,Snakes (Lerner Natural Science Book),Sylvia A. Johnson,Lerner Publishing Group,1986.0,http://images.amazon.com/images/P/0822595036.01.LZZZZZZZ.jpg
1552090094,Skating Superstars (Skating Superstars),Allison Gertridge,Firefly Books Ltd,1996.0,http://images.amazon.com/images/P/1552090094.01.LZZZZZZZ.jpg
0375800298,"Anakin's Fate: Star Wars Episode I (A Step into Reading Jedi Reader, Step 4)",Marc A. Cerasini,Lucasbooks for Young Readers,1999.0,http://images.amazon.com/images/P/0375800298.01.LZZZZZZZ.jpg
0375802924,Junie B. Jones Is a Graduation Girl,Barbara Park,Random House Books for Young Readers,2001.0,http://images.amazon.com/images/P/0375802924.01.LZZZZZZZ.jpg
0439161045,Frienship Fun Forever: How to Have Good Times with Great Friends,Lori Stacy,Scholastic,2000.0,http://images.amazon.com/images/P/0439161045.01.LZZZZZZZ.jpg
1879531224,Ashes for Gold: A Tale from Mexico (Folktales from Around the World),Katherine Maitland,Mondo Publishing,1994.0,http://images.amazon.com/images/P/1879531224.01.LZZZZZZZ.jpg
1570360251,The Pagemaster Pop-Up Book,Eric Binder,Turner Pub,1994.0,http://images.amazon.com/images/P/1570360251.01.LZZZZZZZ.jpg
0753451182,The Best Book of Bugs (The Best Book of),Claire Llewellyn,Kingfisher,1998.0,http://images.amazon.com/images/P/0753451182.01.LZZZZZZZ.jpg
0316488941,Curious Clownfish,Eric Maddern,Little Brown &amp; Co,1990.0,http://images.amazon.com/images/P/0316488941.01.LZZZZZZZ.jpg
0679838996,Whales and Other Creatures of the Sea (Random House Pictureback),Joyce Milton,Random House Children's Books,1993.0,http://images.amazon.com/images/P/0679838996.01.LZZZZZZZ.jpg
068971260X,The BIG SNOW (REISSUE),Berta Hader,Aladdin,1988.0,http://images.amazon.com/images/P/068971260X.01.LZZZZZZZ.jpg
0060970537,The Sea Wall,Marguerite Duras,Perennial,1986.0,http://images.amazon.com/images/P/0060970537.01.LZZZZZZZ.jpg
0702222550,Over the Top With Jim,Hugh Lunn,University of Queensland Pr (Australia),1995.0,http://images.amazon.com/images/P/0702222550.01.LZZZZZZZ.jpg
156865684X,"Magic &amp; Malice (Mairelon the Magician, Magician's Ward)",Patricia C. Wrede,Science fiction Book Club,1997.0,http://images.amazon.com/images/P/156865684X.01.LZZZZZZZ.jpg
0671034766,What You Leave Behind (Star Trek Deep Space Nine),Diane Carey,Star Trek,1999.0,http://images.amazon.com/images/P/0671034766.01.LZZZZZZZ.jpg
0553108204,"I, Jedi (Star Wars)",Michael A. Stackpole,Bantam,1998.0,http://images.amazon.com/images/P/0553108204.01.LZZZZZZZ.jpg
0743452739,The Science of Superman,Mark Wolverton,I Books,2002.0,http://images.amazon.com/images/P/0743452739.01.LZZZZZZZ.jpg
0441586333,Norby Chronicles,Isaac Asimov,Ace Books,1986.0,http://images.amazon.com/images/P/0441586333.01.LZZZZZZZ.jpg
067102499X,"Behind Enemy Lines: The Dominion War, Book 1 (Star Trek: The Next Generation)",Esther Friesner,Star Trek,1998.0,http://images.amazon.com/images/P/067102499X.01.LZZZZZZZ.jpg
0345424328,Of Swords and Spells,Delia Marshall Turner,Del Rey Books,1999.0,http://images.amazon.com/images/P/0345424328.01.LZZZZZZZ.jpg
0743434668,Spider-Man: Revenge of the Sinister Six,Adam-Troy Castro,I Books/Marvel,2001.0,http://images.amazon.com/images/P/0743434668.01.LZZZZZZZ.jpg
0671026267,Pathways (Star Trek: Voyager),Jeri Taylor,Star Trek,1999.0,http://images.amazon.com/images/P/0671026267.01.LZZZZZZZ.jpg
0816506213,Spider Woman Stories: Legends of the Hopi Indians,G. M. Mullett,University of Arizona Press,1979.0,http://images.amazon.com/images/P/0816506213.01.LZZZZZZZ.jpg
074345832X,Spider-Man: The Secret of the Sinister Six,Adam-Troy Castro,I Books/Marvel,2003.0,http://images.amazon.com/images/P/074345832X.01.LZZZZZZZ.jpg
0756401577,The Sorcerer's Academy,Denise Little,Daw Books,2003.0,http://images.amazon.com/images/P/0756401577.01.LZZZZZZZ.jpg
0425165779,"Quantum Leap: Song and Dance (Quantum Leap Series , No 17)",Mindy Peterman,Berkley Publishing Group,1998.0,http://images.amazon.com/images/P/0425165779.01.LZZZZZZZ.jpg
0886776341,The Glass Dragon (Dragon Nimbus),Irene Radford,Daw Books,1994.0,http://images.amazon.com/images/P/0886776341.01.LZZZZZZZ.jpg
0671870831,"The Siege (Star Trek Deep Space Nine, No 2)",Peter David,Star Trek,1993.0,http://images.amazon.com/images/P/0671870831.01.LZZZZZZZ.jpg
0743400518,Avatar Book Two of Two (Star Trek: Deep Space Nine),S.D. Perry,Star Trek,2001.0,http://images.amazon.com/images/P/0743400518.01.LZZZZZZZ.jpg
074340050X,Avatar Book One of Two (Star Trek Deep Space Nine),S. D. Perry,Star Trek,2001.0,http://images.amazon.com/images/P/074340050X.01.LZZZZZZZ.jpg
1863682406,Benang: From the Heart,Kim Scott,Fremantle Arts Centre Press,1999.0,http://images.amazon.com/images/P/1863682406.01.LZZZZZZZ.jpg
1565122194,"New Stories from the South: The Year's Best, 1998 (Annual)",Shannon Ravenel,Algonquin Books of Chapel Hill,1998.0,http://images.amazon.com/images/P/1565122194.01.LZZZZZZZ.jpg
0060175869,From Dawn to Decadence: 1500 to the Present: 500 Years of Western Cultural Life,Jacques Barzun,HarperCollins,2000.0,http://images.amazon.com/images/P/0060175869.01.LZZZZZZZ.jpg
0375401334,Autobiography of Red: A Novel in Verse,Anne Carson,Alfred A. Knopf,1998.0,http://images.amazon.com/images/P/0375401334.01.LZZZZZZZ.jpg
1558820213,Mrs. 'Arris Goes to Paris,Paul Gallico,Independent Pub Group,1989.0,http://images.amazon.com/images/P/1558820213.01.LZZZZZZZ.jpg
0385482272,A Bridge Between Us : A Novel,JULIE SHIGEKUNI,Anchor,1996.0,http://images.amazon.com/images/P/0385482272.01.LZZZZZZZ.jpg
0312275420,Being Dead : A Novel,Jim Crace,Picador,2001.0,http://images.amazon.com/images/P/0312275420.01.LZZZZZZZ.jpg
0743435257,Gust Front,John Ringo,Baen,2002.0,http://images.amazon.com/images/P/0743435257.01.LZZZZZZZ.jpg
0786911794,Starrise at Corrivale (Star Drive: Harbinger Trilogy),Diane Duane,TSR,1998.0,http://images.amazon.com/images/P/0786911794.01.LZZZZZZZ.jpg
0886779308,The Chanur Saga,C. J. Cherryh,Daw Books,2000.0,http://images.amazon.com/images/P/0886779308.01.LZZZZZZZ.jpg
0813507995,The Slavs in European History and Civilization,Francis Dvornik,Rutgers Univ Pr,1992.0,http://images.amazon.com/images/P/0813507995.01.LZZZZZZZ.jpg
0345418794,Dragonseye,Anne McCaffrey,Del Rey Books,1998.0,http://images.amazon.com/images/P/0345418794.01.LZZZZZZZ.jpg
3453007867,Friedhof der Kuscheltiere. Roman.,Stephen King,Heyne,1988.0,http://images.amazon.com/images/P/3453007867.01.LZZZZZZZ.jpg
3596137705,Das Weibernest,Hera Lind,Fischer Taschenbuch Verlag GmbH,1999.0,http://images.amazon.com/images/P/3596137705.01.LZZZZZZZ.jpg
1928556345,Searching for Virginia Dare: A Fool's Errand,Marjorie Hudson,Coastal Carolina Press,2002.0,http://images.amazon.com/images/P/1928556345.01.LZZZZZZZ.jpg
3518377884,Vom Geist des Zen.,Alan Watts,Suhrkamp,1986.0,http://images.amazon.com/images/P/3518377884.01.LZZZZZZZ.jpg
0830716742,The Heart of a Great Pastor: How to Grow Strong and Thrive Wherever God Has Planted You (A Pastor to Pastor Book),H. B. London,Regal Books,1994.0,http://images.amazon.com/images/P/0830716742.01.LZZZZZZZ.jpg
0060924594,"Upon This Rock : Miracles of a Black Church, The",Samuel G. Freedman,Perennial,1994.0,http://images.amazon.com/images/P/0060924594.01.LZZZZZZZ.jpg
0679721134,Rules for Radicals: A Practical Primer for Realistic Radicals,Saul D. Alinsky,Vintage Books USA,1989.0,http://images.amazon.com/images/P/0679721134.01.LZZZZZZZ.jpg
0679721126,Reveille for Radicals,Saul D. Alinsky,Vintage Books USA,1991.0,http://images.amazon.com/images/P/0679721126.01.LZZZZZZZ.jpg
0062504215,What's My Type?,Kathleen V. Hurley,HarperSanFrancisco,1992.0,http://images.amazon.com/images/P/0062504215.01.LZZZZZZZ.jpg
0465034667,Integrity,Stephen L. Carter,Perseus Books Group,1996.0,http://images.amazon.com/images/P/0465034667.01.LZZZZZZZ.jpg
2070367681,Invitee: Roman,Simone de Beauvoir,Schoenhof Foreign Books Inc,1998.0,http://images.amazon.com/images/P/2070367681.01.LZZZZZZZ.jpg
0968897762,Ingamald,Gail Sidonie Sobat,Spotted Cow Press,2002.0,http://images.amazon.com/images/P/0968897762.01.LZZZZZZZ.jpg
0345370554,If I Never Get Back,Darryl Brock,Ballantine Books,1991.0,http://images.amazon.com/images/P/0345370554.01.LZZZZZZZ.jpg
0553109367,Bridal Wreath,Sigrid Undset,Bantam Doubleday Dell,0.0,http://images.amazon.com/images/P/0553109367.01.LZZZZZZZ.jpg
0553110306,Kristin Lavransdatter Mistress of Husaby,Sigrid Undset,Bantam Doubleday Dell,0.0,http://images.amazon.com/images/P/0553110306.01.LZZZZZZZ.jpg
0590679872,Help!: I'm Trapped in My Gym Teacher's Body,Todd Strasser,Apple (Scholastic),1997.0,http://images.amazon.com/images/P/0590679872.01.LZZZZZZZ.jpg
0688100759,Eddie and His Big Deals,Carolyn Haywood,Harpercollins Juvenile Books,1990.0,http://images.amazon.com/images/P/0688100759.01.LZZZZZZZ.jpg
0440407524,Shiloh (Yearling Newbery),Phyllis Reynolds Naylor,Yearling Books,1992.0,http://images.amazon.com/images/P/0440407524.01.LZZZZZZZ.jpg
0439095522,Paul Revere (In Their Own Words),George Sullivan,Scholastic,2000.0,http://images.amazon.com/images/P/0439095522.01.LZZZZZZZ.jpg
0440412420,Soft Rain: A Story of the Cherokee Trail of Tears,Cornelia Cornelissen,Yearling Books,1999.0,http://images.amazon.com/images/P/0440412420.01.LZZZZZZZ.jpg
0394846966,The American Revolution (Landmark Books),Bruce Bliven,Random House Children's Books,1987.0,http://images.amazon.com/images/P/0394846966.01.LZZZZZZZ.jpg
0152010068,Antarctic Antics: A Book of Penguin Poems,Judy Sierra,Gulliver Books,1998.0,http://images.amazon.com/images/P/0152010068.01.LZZZZZZZ.jpg
0789429586,DK Readers: Truck Trouble (Level 1: Beginning to Read),Angela Royston,Dorling Kindersley Publishing,1998.0,http://images.amazon.com/images/P/0789429586.01.LZZZZZZZ.jpg
0380706105,"Bunnicula's Pals -- Harold, Howie and Chester -- in Hot Fudge",James Howe,Harpercollins Juvenile Books,1991.0,http://images.amazon.com/images/P/0380706105.01.LZZZZZZZ.jpg
0671642839,"ENEMY MATCH (NANCY DREW 73) : ENEMY MATCH (Nancy Drew Mystery Stories, No 73)",Carolyn Keene,Aladdin,1987.0,http://images.amazon.com/images/P/0671642839.01.LZZZZZZZ.jpg
0671673017,"The TWIN DILEMMA (NANCY DREW 63) : THE TWIN DILEMMA (Nancy Drew, No 63)",Carolyn Keene,Aladdin,1988.0,http://images.amazon.com/images/P/0671673017.01.LZZZZZZZ.jpg
0553482823,"The Secret of the Magic Pen (Sweet Valley Twins and Friends Super Chiller, No 8)",Francine Pascal,Sweet Valley,1995.0,http://images.amazon.com/images/P/0553482823.01.LZZZZZZZ.jpg
014200023X,A Heart of Stone,Renate Dorrestein,Penguin Books,2002.0,http://images.amazon.com/images/P/014200023X.01.LZZZZZZZ.jpg
034541795X,The Hotel New Hampshire (Ballantine Reader's Circle),John Irving,Ballantine Books,1997.0,http://images.amazon.com/images/P/034541795X.01.LZZZZZZZ.jpg
0743242181,Gentlemen of Space: A Novel,Ira Sher,Free Press,2003.0,http://images.amazon.com/images/P/0743242181.01.LZZZZZZZ.jpg
0684869403,The Wife: A Novel,Meg Wolitzer,Scribner,2003.0,http://images.amazon.com/images/P/0684869403.01.LZZZZZZZ.jpg
0761320342,Loose-Tooth Luke (Real Kid Readers: Level 3 (Paperback)),Patsy Jensen,Millbrook Press,1998.0,http://images.amazon.com/images/P/0761320342.01.LZZZZZZZ.jpg
0316109932,Arthur's Christmas (Arthur Adventure Series),Marc Brown,"Little, Brown",1985.0,http://images.amazon.com/images/P/0316109932.01.LZZZZZZZ.jpg
038070921X,Henry and the Paper Route (Cleary Reissue),Beverly Cleary,HarperTrophy,1990.0,http://images.amazon.com/images/P/038070921X.01.LZZZZZZZ.jpg
0448095114,"The Clue of the Broken Locket (Nancy Drew Mystery Stories, No 11)",Carolyn Keene,Grosset &amp; Dunlap,1970.0,http://images.amazon.com/images/P/0448095114.01.LZZZZZZZ.jpg
1551665425,After Tex,Sherryl Woods,Mira,1999.0,http://images.amazon.com/images/P/1551665425.01.LZZZZZZZ.jpg
044841970X,The Little Engine That Could ABC (Wee Pudgy Board Books),Watty Piper,Platt &amp; Munk,1999.0,http://images.amazon.com/images/P/044841970X.01.LZZZZZZZ.jpg
0448419718,The Little Engine That Could Colors: Colors (Board Book),Cristina Ong,Grosset &amp; Dunlap,1999.0,http://images.amazon.com/images/P/0448419718.01.LZZZZZZZ.jpg
0448419726,The Little Engine That Could Numbers: Numbers (Board Book),Cristina Ong,Grosset &amp; Dunlap,1999.0,http://images.amazon.com/images/P/0448419726.01.LZZZZZZZ.jpg
0380800209,Her Man Friday (Avon Light Contemporary Romances),Elizabeth Bevarly,Avon,1999.0,http://images.amazon.com/images/P/0380800209.01.LZZZZZZZ.jpg
0130683396,Betty Crocker's Best Recipes for Weekend Breakfasts (Betty Crocker's Red Spoon Collection),Crocker,Macmillan General Reference,1991.0,http://images.amazon.com/images/P/0130683396.01.LZZZZZZZ.jpg
0375705511,"Selected Sermons, Prayers, and Devotions (Vintage Spiritual Classics)",John Henry Newman,Vintage Books USA,1999.0,http://images.amazon.com/images/P/0375705511.01.LZZZZZZZ.jpg
